"urn:cite:fufolioimg:wexler.LesTroyens_Costume_017@0.0511,0.0541,0.9209,0.8822","urn:cts:latinLit:phi0690.phi003.fuPers:1.1-1.25"
"urn:cite:fufolioimg:wexler.LesTroyens_Photographs_Set_07@0.2763,0.198,0.4434,0.4605","1.272-1.296"
"urn:cite:fufolioimg:wexler.LesTroyens_Photographs_Set_33","1.34-1.49"
