urn:cts:wexler:berl001.troy.fu04:1.1.2.29,urn:cts:latinLit:phi0690.phi003.fuPerse:2.21-2.25
urn:cts:wexler:berl001.troy.fu04:1.1.1.20-1.1.1.22,urn:cts:latinLit:phi0690.phi003.fuPerse:2.13-2.39
urn:cts:wexler:berl001.troy.fu04:1.1.2,urn:cts:latinLit:phi0690.phi003.fuPerse:2.246-2.247
urn:cts:wexler:berl001.troy.fu04:1.1.3,urn:cts:latinLit:phi0690.phi003.fuPerse:2.341-2.343
urn:cts:wexler:berl001.troy.fu04:1.1.4,
urn:cts:wexler:berl001.troy.fu04:1.1.7.184-1.1.7.188,urn:cts:latinLit:phi0690.phi003.fuPerse:2.40-2.56
urn:cts:wexler:berl001.troy.fu04:1.1.7.188-1.1.7.193,urn:cts:latinLit:phi0690.phi003.fuPerse:2.195-2.233 //narrow down with late

