"urn:cite:fufolioimg:wexler","Images from the Wexler Digital Museum","/project/homer/wexler_pyramids"
"urn:cite:fufolioimg:berlioz","Images of musical scores of Berlioz' Les Troyens","/project/homer/wexler_pyramids"
